,Brand Name,Gender,MRP,Selling Price,Discount Percent,Rating,Discount Amount,Price_Category,Rating_Category,Usage_Type
137,U.S. Polo Assn.,Men,2199,1999,55,4.0,200,Low-Mid,Average,Casual
138,PUMA,Men,3799,2774,73,4.1,1025,Mid,Good,Casual
139,adidas,Men,5999,1304,73,4.3,4695,Low-Mid,Good,Unknown
140,SPARX,Men,4299,849,49,3.8,3450,Budget,Average,Unknown
141,Woodland,Men,2299,999,49,3.8,1300,Budget,Average,Unknown
142,Red Chief,Men,3799,1899,62,3.8,1900,Low-Mid,Average,Unknown
143,Centrino,Women,1499,1899,62,4.5,-400,Low-Mid,Good,Casual
144,Centrino,Men,4799,1899,50,4.4,2900,Low-Mid,Good,Unknown
145,Cruiser,Men,3999,3359,50,4.6,640,Upper-Mid,Excellent,Casual
146,Cruiser,Women,5499,1259,52,3.9,4240,Low-Mid,Average,Casual
147,The Souled Store,Men,1049,1186,52,4.3,-137,Low-Mid,Good,Casual
148,U.S. Polo Assn.,Men,3295,899,64,4.1,2396,Budget,Good,Casual
149,PUMA,Unknown,5099,694,64,3.8,4405,Budget,Average,Unknown
150,new balance,Men,2199,1982,54,4.0,217,Low-Mid,Average,Unknown
151,new balance,Unisex,2499,2399,54,5.0,100,Mid,Excellent,Unknown
152,U.S. Polo Assn.,Women,2499,1789,40,3.7,710,Low-Mid,Average,Casual
153,PUMA,Men,2499,849,40,4.0,1650,Budget,Average,Casual
154,PUMA,Men,4699,2624,55,5.0,2075,Mid,Excellent,Casual
155,Woodland,Men,3699,2032,55,4.2,1667,Mid,Good,Casual
156,PUMA,Men,6999,1682,50,3.9,5317,Low-Mid,Average,Unknown
157,PUMA,Men,5499,3369,50,3.9,2130,Upper-Mid,Average,Unknown
158,U.S. Polo Assn.,Men,5499,749,66,3.7,4750,Budget,Average,Casual
159,PUMA,Men,3699,849,66,4.4,2850,Budget,Good,Casual
160,U.S. Polo Assn.,Men,5499,849,56,3.5,4650,Budget,Average,Casual
161,new balance,Unisex,7999,799,56,3.8,7200,Budget,Average,Casual
162,PUMA,Men,3595,1849,66,3.6,1746,Low-Mid,Average,Casual
163,Campus,Unisex,6499,2531,66,4.0,3968,Mid,Average,Casual
